地区,スポット名,特産品アイテム名,アイテムの効果 (ゲーム内),入手確率 (レア度)
ダウンタウン・港湾地区（Old Downtown & Port）,カルボン・マーケット,新鮮なトロピカルフルーツ,【流通の要所】 占領中、アイテムのドロップ率が1.5倍,
ダウンタウン・港湾地区（Old Downtown & Port）,コロン・ストリート,老舗のバナナキュー,【最古の通り】 占領中、敵陣地への「攻撃」コスト（信仰心消費）を軽減,
ダウンタウン・港湾地区（Old Downtown & Port）,サン・ペドロ要塞,サンゴ石のレンガ,【鉄壁の守り】 占領中、全プレイヤーの基本防御力（DEF）+30%,
山間・アップタウン地区（Uptown & Mountains）,シラオ・ガーデン,シラオのケイトウの花,【魅惑の花畑】 ここに攻め込んだ敵は、一定確率で「Stay」を強制される,
山間・アップタウン地区（Uptown & Mountains）,テンプル・オブ・レア,大理石の女神像,【愛の神殿】 占領中、最大HPの上限がアップする,
山間・アップタウン地区（Uptown & Mountains）,道教寺院（タオイスト）,占いの赤い木札,【静寂の祈り】 占領中、「逃げる」の成功確率が上昇,
新都心新都心・ビジネス地区（Modern Business / IT Park）,Cebu ITパーク,夜明けのエナジードリンク,【近代化の波】 占領中、マップ全体の視野（他のプレイヤーの位置）が広がる,
歴史保護地区（Heritage District）,マゼラン・クロス,マゼランの木の十字架,【信仰の源泉】 占領中、スタミナ（信仰心）の回復速度が大幅UP,
歴史保護地区（Heritage District）,サント・ニーニョ教会,サント・ニーニョの木彫り像,【聖地】 占領中、すべての状態異常（デバフ）を無効化,
ショッピング・商業特区（Commercial Hub / SM City）,,,,